,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
44,Halo 3,28,2007.0,8,325,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,258,5
45,Super Mario 64,10,1996.0,4,361,6.91,2.85,1.91,0.23,11.89,70.0,4.0,7.8,4.0,1539,1
46,Pokemon HeartGold/Pokemon SoulSilver,4,2009.0,0,361,4.34,2.71,3.96,0.76,11.77,70.0,4.0,7.8,4.0,1539,1
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2,2014.0,7,361,4.35,3.49,3.1,0.74,11.68,70.0,4.0,7.8,4.0,1539,1
48,Gran Turismo 4,16,2004.0,6,458,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,1130,1
49,Super Mario Galaxy,26,2007.0,4,361,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,1020,1
50,Super Mario Land 2: 6 Golden Coins,5,1992.0,1,361,6.16,2.04,2.69,0.29,11.18,70.0,4.0,7.8,4.0,1539,1
51,Grand Theft Auto IV,28,2008.0,0,497,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,1220,5
52,Gran Turismo,15,1997.0,6,458,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,1130,1
53,Super Mario 3D Land,2,2011.0,4,361,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,1020,1
54,Gran Turismo 5,17,2010.0,6,458,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,1130,1
55,Call of Duty: Modern Warfare 2,17,2009.0,8,21,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,728,5
56,Super Mario All-Stars,23,1993.0,4,361,5.99,2.15,2.12,0.29,10.55,70.0,4.0,7.8,4.0,1539,1
57,Grand Theft Auto IV,17,2008.0,0,497,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,1220,5
58,Pokemon FireRed/Pokemon LeafGreen,6,2004.0,7,361,4.34,2.65,3.15,0.35,10.49,70.0,4.0,7.8,4.0,1539,1
59,Super Mario 64,4,2004.0,4,361,5.01,3.07,1.25,0.97,10.3,70.0,4.0,7.8,4.0,1539,1
60,Call of Duty: Ghosts,28,2013.0,8,21,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,728,5
61,Just Dance 3,26,2011.0,3,528,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,1539,2
62,New Super Mario Bros. 2,2,2012.0,4,361,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,1020,1
63,Mario Kart 64,10,1996.0,6,361,5.55,1.94,2.23,0.15,9.87,70.0,4.0,7.8,4.0,1539,1
64,Halo: Reach,28,2010.0,8,325,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,256,5
65,Final Fantasy VII,15,1997.0,7,458,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,1370,7
66,Halo 4,28,2012.0,8,325,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7,3260.0,18,5
67,Gran Turismo 2,15,1999.0,6,458,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9,135.0,1130,7
68,Just Dance 2,26,2010.0,3,528,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,1539,2
69,Call of Duty: Ghosts,17,2013.0,8,21,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,728,5
70,Call of Duty 4: Modern Warfare,28,2007.0,8,21,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,728,5
71,Donkey Kong Country,23,1994.0,4,361,4.36,1.71,3.0,0.23,9.3,70.0,4.0,7.8,4.0,1539,1
72,Minecraft,28,2013.0,3,325,5.7,2.65,0.02,0.81,9.18,70.0,4.0,7.8,4.0,1539,1
73,Animal Crossing: New Leaf,2,2012.0,9,361,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,1020,1
74,Mario Party DS,4,2007.0,3,361,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,681,1
75,The Elder Scrolls V: Skyrim,28,2011.0,7,66,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,175,5
76,Super Mario Kart,23,1992.0,6,361,3.54,1.24,3.81,0.18,8.76,70.0,4.0,7.8,4.0,1539,1
77,FIFA 16,18,2015.0,10,139,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,449,1
78,Halo 2,29,2004.0,8,325,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,257,5
79,Wii Party,26,2010.0,3,361,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,994,1
80,Mario Party 8,26,2007.0,3,361,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,679,1
81,FIFA Soccer 13,17,2012.0,0,139,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,477,1
82,GoldenEye 007,10,1997.0,8,361,5.8,2.01,0.13,0.15,8.09,70.0,4.0,7.8,4.0,1539,1
83,Pokemon Black 2/Pokemon White 2,4,2012.0,7,361,2.79,1.72,3.14,0.41,8.07,70.0,4.0,7.8,4.0,1539,1
84,Final Fantasy X,16,2001.0,7,458,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,1370,7
85,The Sims 3,13,2009.0,9,139,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,1485,7
86,Mario & Sonic at the Olympic Games,26,2007.0,10,448,2.57,3.86,0.66,0.91,7.99,70.0,4.0,7.8,4.0,1539,1
87,Star Wars Battlefront (2015),18,2015.0,8,139,2.99,3.49,0.22,1.28,7.98,70.0,4.0,7.8,4.0,1539,1
88,Final Fantasy VIII,15,1999.0,7,469,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,1370,7
89,Pac-Man,0,1982.0,5,53,7.28,0.45,0.0,0.08,7.81,70.0,4.0,7.8,4.0,1539,1
90,Pokémon Platinum Version,4,2008.0,7,361,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,580,1
91,Grand Theft Auto: Liberty City Stories,19,2005.0,0,497,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,1218,5
92,Call of Duty: Advanced Warfare,18,2014.0,8,21,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,1326,5
93,The Legend of Zelda: Ocarina of Time,10,1998.0,0,361,4.1,1.89,1.45,0.16,7.6,70.0,4.0,7.8,4.0,1539,1
94,FIFA 17,18,2016.0,10,139,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,452,1
95,Crash Bandicoot 2: Cortex Strikes Back,15,1997.0,4,458,3.78,2.17,1.31,0.31,7.58,70.0,4.0,7.8,4.0,1539,1
96,Super Smash Bros. for Wii U and 3DS,2,2014.0,2,361,3.27,1.37,2.43,0.48,7.55,70.0,4.0,7.8,4.0,1539,1
97,Super Mario Galaxy 2,26,2010.0,4,361,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,1021,1
98,Super Mario Bros. 2,11,1988.0,4,361,5.39,1.18,0.7,0.19,7.46,70.0,4.0,7.8,4.0,1539,1
99,Call of Duty: Black Ops 3,30,2015.0,8,21,4.59,2.11,0.01,0.68,7.39,70.0,4.0,7.8,4.0,1539,1
100,Call of Duty: World at War,28,2008.0,8,21,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,1514,5
101,Battlefield 3,28,2011.0,8,139,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,437,5
102,Need for Speed Underground,16,2003.0,6,139,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,429,1
103,Just Dance,26,2009.0,3,528,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8,110.0,1550,2
104,Battlefield 3,17,2011.0,8,139,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,437,5
105,Fallout 4,18,2015.0,7,66,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,175,5
106,Tekken 3,15,1998.0,2,458,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,978,7
107,The Legend of Zelda: Twilight Princess,26,2006.0,0,361,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9,1658.0,1020,7
108,Pokemon Sun/Moon,2,2016.0,7,361,2.98,1.45,2.26,0.45,7.14,70.0,4.0,7.8,4.0,1539,1
109,Crash Bandicoot 3: Warped,15,1998.0,4,458,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,989,1
110,Mario Kart 8,27,2014.0,6,361,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,1020,1
111,Super Smash Bros. Melee,7,2001.0,2,361,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,638,7
112,Mario Kart: Double Dash!!,7,2003.0,6,361,4.12,1.77,0.87,0.19,6.95,70.0,4.0,7.8,4.0,1539,1
113,Need for Speed Underground 2,16,2004.0,6,139,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,431,1
114,Medal of Honor: Frontline,16,2002.0,8,139,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,441,7
115,Crash Bandicoot,15,1996.0,4,458,3.23,2.35,0.94,0.3,6.82,70.0,4.0,7.8,4.0,1539,1
116,Just Dance 4,26,2012.0,3,528,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,1539,2
117,Gears of War 2,28,2008.0,8,325,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,493,5
118,Uncharted 3: Drake's Deception,17,2011.0,0,458,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,989,7
119,Zumba Fitness,26,2010.0,10,6,3.45,2.59,0.0,0.66,6.71,70.0,4.0,7.8,4.0,1110,1
120,Call of Duty 4: Modern Warfare,17,2007.0,8,21,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,728,5
121,Uncharted 2: Among Thieves,17,2009.0,0,458,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,989,7
122,FIFA 12,17,2011.0,10,139,0.84,4.3,0.11,1.39,6.65,70.0,4.0,7.8,4.0,1539,1
123,Big Brain Academy,4,2005.0,3,361,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,1020,1
124,The Legend of Zelda,11,1986.0,0,361,3.74,0.93,1.69,0.14,6.51,70.0,4.0,7.8,4.0,1539,1
125,Red Dead Redemption,17,2010.0,0,497,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,1221,5
126,FIFA 14,17,2013.0,10,139,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,431,1
127,Assassin's Creed III,17,2012.0,0,528,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,1539,5
128,Donkey Kong Country Returns,26,2010.0,4,361,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,1210,1
129,Halo: Combat Evolved,29,2001.0,8,325,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,257,5
130,The Elder Scrolls V: Skyrim,17,2011.0,7,66,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,175,5
131,Pokémon Emerald Version,6,2004.0,7,361,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9,222.0,580,1
132,Kingdom Hearts,16,2002.0,7,458,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,1370,1
133,Pokémon Crystal Version,5,2000.0,7,361,2.55,1.56,1.29,0.99,6.39,70.0,4.0,7.8,4.0,1539,1
134,Halo 3: ODST,28,2009.0,8,325,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,258,5
135,Red Dead Redemption,28,2010.0,0,497,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9,2316.0,1221,5
136,Super Mario Sunshine,7,2002.0,4,361,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,1020,1
137,Street Fighter II: The World Warrior,23,1992.0,2,85,2.47,0.83,2.87,0.12,6.3,70.0,4.0,7.8,4.0,1539,1
138,World of Warcraft,13,2004.0,7,21,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,217,7
139,Driver,15,1999.0,0,178,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,1202,7
140,Gears of War 3,28,2011.0,8,325,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,493,5
141,Kinect Sports,28,2010.0,10,325,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,1172,2
142,Gears of War,28,2006.0,8,325,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,493,5
143,FIFA 15,18,2014.0,10,139,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,449,1
144,Metal Gear Solid 2: Sons of Liberty,16,2001.0,0,277,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,785,5
145,Sonic the Hedgehog 2,8,1992.0,4,448,4.47,1.2,0.16,0.19,6.03,70.0,4.0,7.8,4.0,1539,1
146,Metal Gear Solid,15,1998.0,0,277,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,785,5
147,Metal Gear Solid 4: Guns of the Patriots,17,2008.0,0,277,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,812,5
148,Final Fantasy XII,16,2006.0,7,467,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,1365,7
149,The Last of Us,17,2013.0,0,460,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,989,5
150,LittleBigPlanet,17,2008.0,4,458,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,1244,1
151,Resident Evil 2,15,1998.0,0,545,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,268,5
152,Dragon Quest IX: Sentinels of the Starry Skies,4,2009.0,7,361,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,843,2
153,Tekken 2,15,1996.0,2,458,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,978,7
154,Destiny,18,2014.0,8,21,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,258,7
155,LEGO Star Wars: The Complete Saga,26,2007.0,0,290,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,1511,2
156,Cooking Mama,4,2006.0,9,6,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,1435,1
157,Tetris,11,1988.0,5,361,2.97,0.69,1.81,0.11,5.58,70.0,4.0,7.8,4.0,1539,1
158,Super Smash Bros.,10,1999.0,2,361,2.95,0.6,1.97,0.04,5.55,70.0,4.0,7.8,4.0,1539,1
159,Assassin's Creed II,17,2009.0,0,528,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,1547,5
160,Assassin's Creed,28,2007.0,1,528,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,1547,5
161,Forza Motorsport 3,28,2009.0,6,325,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8,516.0,1528,1
162,Super Mario Advance,6,2001.0,4,361,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,1020,1
163,Monster Hunter Freedom Unite,19,2008.0,7,85,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,268,7
164,Batman: Arkham City,17,2011.0,0,552,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,1227,7
165,Grand Theft Auto V,30,2014.0,0,497,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,1220,5
166,Mario Kart: Super Circuit,6,2001.0,6,361,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,735,1
167,Super Mario World,6,2001.0,4,361,3.21,1.11,0.95,0.2,5.46,70.0,4.0,7.8,4.0,1539,1
168,Pokemon Stadium,10,1999.0,11,361,3.18,1.24,0.94,0.09,5.45,70.0,4.0,7.8,4.0,1539,1
169,Crash Bandicoot: The Wrath of Cortex,16,2001.0,4,532,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,1511,1
170,Call of Duty: World at War,17,2008.0,8,21,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,1514,5
171,Uncharted 4: A Thief's End,18,2016.0,8,458,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,989,7
172,Dr. Mario,5,1989.0,5,361,2.18,0.96,2.0,0.2,5.34,70.0,4.0,7.8,4.0,1539,1
173,Final Fantasy XIII,17,2009.0,7,467,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,1365,7
174,Pokemon Pinball,5,1999.0,3,361,3.02,1.12,1.01,0.16,5.31,70.0,4.0,7.8,4.0,1539,1
175,Final Fantasy IX,15,2000.0,7,469,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,1370,7
176,Assassin's Creed III,28,2012.0,0,528,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,1539,5
177,Final Fantasy X-2,16,2003.0,7,139,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,1370,7
178,Donkey Kong 64,10,1999.0,4,361,3.33,0.79,1.09,0.06,5.27,70.0,4.0,7.8,4.0,1539,1
179,Call of Duty: Advanced Warfare,30,2014.0,8,21,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,1326,5
180,Minecraft,17,2014.0,3,458,2.03,2.37,0.0,0.87,5.26,70.0,4.0,7.8,4.0,1539,1
181,Assassin's Creed II,28,2009.0,0,528,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,1547,5
182,Tomb Raider II,15,1997.0,0,138,2.3,2.46,0.2,0.28,5.24,85.0,13.0,7.8,4.0,322,7
183,Madden NFL 2004,16,2008.0,10,139,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,453,1
184,Tomodachi Life,2,2013.0,9,361,0.97,2.11,1.9,0.24,5.23,70.0,4.0,7.8,4.0,1539,1
185,New Super Mario Bros. U,27,2012.0,4,361,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,1020,1
186,Dragon Quest VIII: Journey of the Cursed King,16,2004.0,7,467,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,843,7
187,Super Mario Bros. 3,6,2003.0,4,361,2.93,1.25,0.83,0.2,5.2,70.0,4.0,7.8,4.0,1539,1
188,Professor Layton and the Curious Village,4,2007.0,5,361,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,843,1
189,Super Mario Land 3: Wario Land,5,1994.0,4,361,2.49,0.98,1.57,0.15,5.19,70.0,4.0,7.8,4.0,1539,1
190,FIFA Soccer 13,28,2012.0,0,139,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,477,1
191,Donkey Kong Country 2: Diddy's Kong Quest,23,1995.0,4,361,2.1,0.74,2.2,0.11,5.15,70.0,4.0,7.8,4.0,1539,1
192,Diablo III,13,2012.0,7,21,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4,9629.0,217,5
193,Medal of Honor: Rising Sun,16,2003.0,8,139,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,441,7
194,Kirby's Dream Land,5,1992.0,4,361,2.71,0.61,1.7,0.11,5.13,70.0,4.0,7.8,4.0,1539,1
195,Microsoft Flight Simulator,13,1996.0,9,325,3.22,1.69,0.0,0.2,5.12,70.0,4.0,7.8,4.0,1539,1
196,Guitar Hero II,16,2006.0,3,428,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,647,7
197,Fable III,28,2010.0,7,325,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,851,5
198,Mario & Sonic at the Olympic Games,4,2008.0,10,448,1.63,2.45,0.44,0.57,5.09,70.0,4.0,7.8,4.0,1539,1
199,Resident Evil 5,17,2009.0,0,85,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,268,5
200,The Legend of Zelda: Phantom Hourglass,4,2007.0,0,361,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8,416.0,1020,1
201,Super Mario Bros.,5,1999.0,4,361,3.4,1.3,0.15,0.22,5.07,70.0,4.0,7.8,4.0,1539,1
202,FIFA Soccer 11,17,2010.0,10,139,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8,233.0,449,1
203,Resident Evil,15,1996.0,0,545,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9,266.0,268,5
204,Grand Theft Auto: Vice City Stories,19,2006.0,0,497,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8,150.0,1218,5
205,Tony Hawk's Pro Skater,15,1999.0,10,21,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,1004,7
206,Warzone 2100,15,1999.0,11,138,2.79,1.89,0.0,0.33,5.01,70.0,4.0,7.8,4.0,1539,1
207,Spyro the Dragon,15,1998.0,4,458,3.36,1.36,0.07,0.21,5.0,70.0,4.0,7.8,4.0,1539,1
208,Guitar Hero III: Legends of Rock,16,2007.0,3,21,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,1005,7
209,Link's Crossbow Training,26,2007.0,8,361,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,1020,7
