columns,weights
Platform,0.1770513887918191
Year_of_Release,0.0
Genre,0.16598707785378547
Publisher,0.17946485444149982
Critic_Score,0.3653601991998991
Critic_Count,0.46813085348290717
User_Score,0.09933523641208655
User_Count,1.0
Developer,0.19176544009269078
Rating,0.12095276232498117
