V,x,y
-0.1063385468673922,Developer,User_Count
1.0,Developer,Developer
-0.3303458287696264,Developer,Rating
0.21452644529832146,Rating,Platform
0.12763665650620332,Rating,Year_of_Release
-0.05914883831161832,Rating,Genre
-0.016477640033281973,Rating,Publisher
0.03734031231092059,Rating,NA_Sales
0.049662825795740086,Rating,EU_Sales
-0.06255103021919298,Rating,JP_Sales
0.06842787753331117,Rating,Other_Sales
0.003109003720082435,Rating,Critic_Score
0.48721794134550006,Rating,Critic_Count
0.18078643608202583,Rating,User_Count
-0.3303458287696264,Rating,Developer
1.0,Rating,Rating
