,columns,weights
0,Platform,-4.726504796734671e-06
1,Year_of_Release,-4.691627219635956e-06
2,Genre,1.2694895363612613e-06
3,Publisher,-4.5782132378906925e-07
4,NA_Sales,0.9998866907323425
5,EU_Sales,1.0000172642500997
6,JP_Sales,0.9999405448940528
7,Other_Sales,0.9996408292817168
8,Critic_Score,-2.798117405819701e-06
9,Critic_Count,-3.3674860686557875e-06
10,User_Score,-2.0244984510013987e-05
11,User_Count,-7.307718046905805e-08
12,Developer,-4.694916357604346e-08
13,Rating,2.0206347361589785e-05
